[FAULT] Time: 0 | Vehicle Type: Bravo Company | Fault Count: 1 | Degradation: 98
[FAULT] Time: 0 | Vehicle Type: Delta Company | Fault Count: 1 | Degradation: 88.2
[FAULT] Time: 0.5 | Vehicle Type: Delta Company | Fault Count: 1 | Degradation: 88.2
[FAULT] Time: 1 | Vehicle Type: Delta Company | Fault Count: 2 | Degradation: 86.436
[FAULT] Time: 1.5 | Vehicle Type: Alpha Company | Fault Count: 1 | Degradation: 117.6
[FAULT] Time: 1.5 | Vehicle Type: Echo Company | Fault Count: 1 | Degradation: 29.4
[FAULT] Time: 1.5 | Vehicle Type: Echo Company | Fault Count: 1 | Degradation: 29.4
[FAULT] Time: 1.5 | Vehicle Type: Delta Company | Fault Count: 2 | Degradation: 86.436
[FAULT] Time: 1.5 | Vehicle Type: Charlie Company | Fault Count: 1 | Degradation: 156.8
[FAULT] Time: 1.5 | Vehicle Type: Alpha Company | Fault Count: 1 | Degradation: 117.6
[FAULT] Time: 2 | Vehicle Type: Echo Company | Fault Count: 2 | Degradation: 28.812
[FAULT] Time: 2.5 | Vehicle Type: Charlie Company | Fault Count: 1 | Degradation: 156.8
[FAULT] Time: 2.5 | Vehicle Type: Echo Company | Fault Count: 3 | Degradation: 28.2358
[FAULT] Time: 2.5 | Vehicle Type: Delta Company | Fault Count: 3 | Degradation: 84.7073
